"x","y","color","pen down?"
"0","126","15","true"
"0.01","93","15","true"
"0.02","77","15","true"
"0.03","60","15","true"
"0.04","34","15","true"
"0.05","15","15","true"
"0.06","10","15","true"
"0.07","14","15","true"
"0.08","11","15","true"
"0.09","6","15","true"
"0.1","2","15","true"
"0.11","4","15","true"
"0.12","1","15","true"
"0.13","1","15","true"
"0.14","15","15","true"
"0.15","11","15","true"
"0.16","6","15","true"
"0.17","5","15","true"
"0.18","1","15","true"
"0.19","2","15","true"
"0.21","1","15","true"
"0.22","1","15","true"
"0.24","1","15","true"
"0.41000000000000003","1","15","true"
"0.53","1","15","true"
