"x","y","color","pen down?"
"0","178","115","true"
"231.77","114","115","true"
"463.54","70","115","true"
"695.3100000000001","45","115","true"
"927.08","32","115","true"
"1158.8500000000001","16","115","true"
"1390.6200000000001","9","115","true"
"1622.39","8","115","true"
"1854.16","8","115","true"
"2085.9300000000003","4","115","true"
"2317.7000000000003","1","115","true"
"2549.4700000000003","1","115","true"
"2781.2400000000002","1","115","true"
"3013.01","4","115","true"
"3940.09","1","115","true"
"4171.860000000001","1","115","true"
"6257.79","1","115","true"
"7184.87","1","115","true"
"11820.27","2","115","true"
"13210.890000000001","1","115","true"
"15992.130000000001","1","115","true"
"22945.23","1","115","true"
