"x","y","color","pen down?"
"5.014522095296125E-4","10","105","true"
"7.521783142944188E-4","17","105","true"
"8.775413666768218E-4","13","105","true"
"0.001002904419059225","3","105","true"
"0.0011282674714416282","57","105","true"
"0.0012536305238240314","3","105","true"
"0.0013789935762064344","57","105","true"
"0.0015043566285888375","16","105","true"
"0.0016297196809712407","61","105","true"
"0.0017550827333536437","32","105","true"
"0.0018804457857360469","28","105","true"
"0.00200580883811845","38","105","true"
"0.002131171890500853","11","105","true"
"0.0022565349428832564","42","105","true"
"0.0023818979952656594","8","105","true"
"0.002507261047648063","29","105","true"
"0.0026326241000304658","8","105","true"
"0.0027579871524128687","15","105","true"
"0.002883350204795272","7","105","true"
"0.003008713257177675","7","105","true"
"0.003134076309560078","11","105","true"
"0.0032594393619424815","4","105","true"
"0.0033848024143248844","4","105","true"
"0.0035101654667072874","3","105","true"
"0.0037608915714720938","1","105","true"
"0.0040116176762369","2","105","true"
"0.004136980728619303","1","105","true"
"0.00438770683338411","3","105","true"
"0.004638432938148916","2","105","true"
"0.0052652482000609315","1","105","true"
"0.006518878723884963","1","105","true"
"0.007271057038179382","1","105","true"
"0.00839932450962101","1","105","true"
"0.009276865876297832","1","105","true"
"0.009652955033445041","1","105","true"
"0.01241094218585791","1","105","true"
