"x","y","color","pen down?"
"1","27","5","true"
"2","76","5","true"
"3","91","5","true"
"4","94","5","true"
"5","84","5","true"
"6","51","5","true"
"7","25","5","true"
"8","23","5","true"
"9","9","5","true"
"10","5","5","true"
"11","3","5","true"
"12","4","5","true"
"15","1","5","true"
"16","1","5","true"
"21","1","5","true"
"24","1","5","true"
"27","1","5","true"
"30","2","5","true"
"40","1","5","true"
