"x","y","color","pen down?"
"0","112","115","true"
"172.18","128","115","true"
"344.36","75","115","true"
"516.54","52","115","true"
"688.72","41","115","true"
"860.9000000000001","22","115","true"
"1033.08","25","115","true"
"1205.26","13","115","true"
"1377.44","7","115","true"
"1549.6200000000001","4","115","true"
"1721.8000000000002","2","115","true"
"1893.98","6","115","true"
"2410.52","1","115","true"
"2582.7000000000003","3","115","true"
"2927.06","1","115","true"
"3099.2400000000002","1","115","true"
"4648.860000000001","1","115","true"
"5337.58","1","115","true"
"7748.1","1","115","true"
"7920.280000000001","1","115","true"
"9814.26","1","115","true"
"11708.24","1","115","true"
"17045.82","1","115","true"
