"x","y","color","pen down?"
"0","409","115","true"
"912.65","33","115","true"
"1825.3","23","115","true"
"2737.95","10","115","true"
"3650.6","7","115","true"
"4563.25","2","115","true"
"5475.9","3","115","true"
"6388.55","1","115","true"
"9126.5","2","115","true"
"10039.15","1","115","true"
"10951.8","1","115","true"
"20078.3","1","115","true"
"22816.25","1","115","true"
"26466.85","1","115","true"
"27379.5","1","115","true"
"31030.1","1","115","true"
"49283.1","1","115","true"
"80313.2","1","115","true"
