"x","y","color","pen down?"
"0","22","15","true"
"0.01","54","15","true"
"0.02","67","15","true"
"0.03","62","15","true"
"0.04","54","15","true"
"0.05","50","15","true"
"0.06","46","15","true"
"0.07","16","15","true"
"0.08","28","15","true"
"0.09","12","15","true"
"0.1","15","15","true"
"0.11","7","15","true"
"0.12","10","15","true"
"0.13","5","15","true"
"0.14","7","15","true"
"0.15","5","15","true"
"0.16","9","15","true"
"0.17","8","15","true"
"0.18","4","15","true"
"0.19","5","15","true"
"0.2","3","15","true"
"0.21","2","15","true"
"0.22","2","15","true"
"0.23","1","15","true"
"0.24","1","15","true"
"0.29","1","15","true"
"0.42","1","15","true"
"0.46","1","15","true"
"0.67","1","15","true"
